,timestamp,tvl usd value,liqw,date
127,1689746400,4224271.947711917037965646972726754,1532760342104,2023-07-19 09:00:00
128,1689742800,4225861.410108055399578697723051324,1532760342104,2023-07-19 08:00:00
129,1689739200,4226840.372629693139175210737369256,1532821038533,2023-07-19 07:00:00
130,1689735600,4220875.768277180594459458633214098,1528787298051,2023-07-19 06:00:00
131,1689732000,4219341.404085539110999795945457194,1528774818946,2023-07-19 05:00:00
132,1689728400,4219876.404820469938460174266983038,1528737964457,2023-07-19 04:00:00
133,1689724800,4217321.775186993596934648913637105,1525601277568,2023-07-19 03:00:00
134,1689721200,4181308.082846535049487512695694437,874146523514,2023-07-19 02:00:00
135,1689717600,4177339.607569329169866935262629181,873028633387,2023-07-19 01:00:00
136,1689710400,4179246.870663929119195393474780348,872792016361,2023-07-18 23:00:00
137,1689706800,4180544.954352486217920689341987401,871971074337,2023-07-18 22:00:00
138,1689703200,4181071.670908589817194591917015288,872738409832,2023-07-18 21:00:00
139,1689699600,4171108.278752937028599203365333681,871713607174,2023-07-18 20:00:00
140,1689696000,4168930.99043553031470391075551706,845451510839,2023-07-18 19:00:00
141,1689692400,4184528.983348811694166312315384907,1476951577040,2023-07-18 18:00:00
142,1689688800,4166807.199279044912865455378426514,1476951577040,2023-07-18 17:00:00
143,1689685200,4160147.03335967638700359027402485,868728789411,2023-07-18 16:00:00
144,1689681600,4136398.753016070285346374798407689,846021798513,2023-07-18 15:00:00
145,1689678000,4152427.351057219830289171883018917,1445758275601,2023-07-18 14:00:00
146,1689674400,4151833.297591043627994155484944958,1430858044771,2023-07-18 13:00:00
147,1689670800,4154053.119450385376640687393724091,1430858044771,2023-07-18 12:00:00
148,1689667200,4153569.126619711209935791648241225,1431733096355,2023-07-18 11:00:00
149,1689663600,4153757.512749184978982255431708633,1431164017506,2023-07-18 10:00:00
150,1689660000,4152835.349221230484790959576899076,1431164017506,2023-07-18 09:00:00
151,1689652800,4162786.10685618813772048151323517,1480425340626,2023-07-18 07:00:00
152,1689649200,4158209.852526511773923259201946163,1408368502198,2023-07-18 06:00:00
153,1689645600,4160930.7211755802430608943851254,1407347195386,2023-07-18 05:00:00
154,1689642000,4144061.513697467550642587128469929,1258275289728,2023-07-18 04:00:00
155,1689638400,4141836.726523009733202109066374587,1258275289728,2023-07-18 03:00:00
156,1689634800,4142847.685446192317607836592718639,1259253302719,2023-07-18 02:00:00
157,1689631200,4156907.945864796300856180906661818,1258232045033,2023-07-18 01:00:00
158,1689627600,4159413.694173913134514546483547834,1258230017771,2023-07-18 00:00:00
159,1689624000,4138211.23582086400846008531970426,1207821182800,2023-07-17 23:00:00
