['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000']
[184, '2023-07-24', '11:11:20', '1690197080.095331', 3.411711e-05, 0.1627473362879357, 0.4901244430609921, 0.5659598355136524]
[185, '2023-07-24', '11:30:19', '1690198219.536592', 3.413799e-05, 0.28260009378661266, 0.4493349969596494, 0.5051052449978215]
[186, '2023-07-24', '12:14:00', '1690200840.628046', 3.426136e-05, -0.07776487282183098, 0.08957258735597406, 0.3643347849386487]
[187, '2023-07-24', '12:33:33', '1690202013.631325', 3.4282420000000004e-05, -0.12501366910782963, 0.03365286393616884, 0.303090073420222]
[188, '2023-07-24', '13:16:36', '1690204596.479352', 3.4229170000000006e-05, 0.030507935781201923, 0.18892801618606825, 0.343100462928831]
[189, '2023-07-24', '13:36:45', '1690205805.258987', 3.423614e-05, 0.337832291160197, 0.5766904447253154, 0.32280757853307307]
[190, '2023-07-24', '14:19:15', '1690208355.449722', 3.436786e-05, -0.04560756890020912, 0.19416956665259022, 0.49545626155220646]
[191, '2023-07-24', '14:39:40', '1690209580.927339', 3.443469e-05, 0.42358254751692925, 0.32309891863627627, 0.30196476519368787]
[192, '2023-07-24', '15:21:58', '1690212118.185255', 3.4402799999999995e-05, 0.5158003648563607, 0.41540979396243927, 0.4872495935562995]
[193, '2023-07-24', '15:42:21', '1690213341.291914', 3.444633e-05, -0.008180931095637334, 0.2520642616690765, 0.3613357137211466]
[194, '2023-07-24', '16:24:38', '1690215878.175371', 3.442245e-05, 0.061149977614647355, 0.32121475478201944, 0.40713204998748154]
[195, '2023-07-24', '16:45:00', '1690217100.874596', 3.43886e-05, 0.13205235012729588, 0.3715010866119286, 0.5050686750710582]
[196, '2023-07-24', '17:27:17', '1690219637.663358', 3.439731e-05, 0.10675763548259454, 0.3462670199289164, 0.5833575460370639]
[197, '2023-07-24', '17:47:40', '1690220860.031324', 3.443612e-05, 0.179450842217733, 0.41428738249713604, 0.4711871497578528]
[198, '2023-07-24', '18:29:54', '1690223394.445169', 3.4429590000000006e-05, 0.19837946094713743, 0.43317147000153966, 0.4150074895718916]
[199, '2023-07-24', '18:50:17', '1690224617.385424', 3.437354e-05, 0.07119070854184884, 0.334494253592311, 0.5771278874682935]
[200, '2023-07-24', '19:32:32', '1690227152.506079', 3.434842e-05, 0.14421815027179719, 0.4073292744935486, 0.5584647426817639]
[201, '2023-07-24', '19:52:54', '1690228374.920166', 3.435437e-05, 0.16725944950852067, 0.40611481315355036, 0.5412389973700016]
[202, '2023-07-24', '20:35:10', '1690230910.271896', 3.435312e-05, 0.17089191098834533, 0.40973858376798944, 0.5963980195365366]
[203, '2023-07-24', '20:55:33', '1690232133.492298', 3.4346799999999994e-05, 0.11952575508067298, 0.41322648324835143, 0.6146854637196952]
