['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000', '400 000', '500 000']
[60, '2023-07-21', '12:53:10', '1689943990.076411', 0.0005280801682526929, 0.3012440799090399, 0.12775392375819195, 0.21158727015576062, 0.26446553985377363, 0.3013812997844383]
[61, '2023-07-21', '13:24:44', '1689945884.511325', 0.000528127526511618, 0.03543758309461964, 0.11879737516299826, 0.4233477844829707, 0.255521251563934, 0.5544194379357492]
[62, '2023-07-21', '13:55:53', '1689947753.828322', 0.0005294498741100096, -0.21485783307009854, 0.13254300408213737, 0.17402363396423937, 0.27651481344194906, 0.30542347005750514]
[63, '2023-07-21', '14:27:53', '1689949673.000121', 0.0005298756063080115, 0.02922555025828899, 0.05223928874517014, -0.04671792169834532, 0.19632686625952545, 0.09428519495467924]
[64, '2023-07-21', '14:58:32', '1689951512.319326', 0.000528630661460635, 0.26410728298537833, 0.17459885370514883, 0.18834224051857973, 0.3146300171427896, 0.3290140697874335]
[65, '2023-07-21', '15:30:41', '1689953441.719846', 0.0005288294572877229, 0.03569517352430296, 0.13705870586274216, 0.21865417360528738, 0.277142529149657, 0.3553181675476935]
[66, '2023-07-21', '16:01:03', '1689955263.42333', 0.0005289433805065727, 0.014160338013610385, 0.1793866229863852, 0.19715875208318323, 0.33832420872512614, 0.33385218690084173]
[67, '2023-07-21', '16:33:21', '1689957201.807265', 0.0005292852666926267, 0.034524818796413115, 0.11486688409796386, 0.2263841098013586, 0.2739072002366072, 0.37505860327883056]
[68, '2023-07-21', '17:03:41', '1689959021.091357', 0.0005293864710179173, 0.015410478940935946, -0.16358954134115322, 0.207306455248343, -0.03083893108524194, 0.3560093766884762]
[69, '2023-07-21', '17:35:57', '1689960957.290172', 0.0005278116062640301, -0.009303156891746767, 0.1343857856221149, -0.2510514869555607, 0.2667414778576358, -0.11122038066319817]
[70, '2023-07-21', '18:06:33', '1689962793.399333', 0.0005256645684312744, 0.39751578183006586, 0.23756364060363921, 0.15675083827098035, 0.36543226623426506, 0.29601313805768825]
[71, '2023-07-21', '18:38:38', '1689964718.628356', 0.000525577244291703, 0.0682652826632335, 0.25413631724917707, 0.49187320419763125, 0.38198370116334956, 0.8089676464137625]
[72, '2023-07-21', '19:09:52', '1689966592.027295', 0.0005283378963771382, -0.45663710769873944, 0.140183281875764, -0.030804139123787877, 0.29359534967564116, 0.28795587640756537]
[73, '2023-07-21', '19:41:23', '1689968483.199283', 0.000528337564426249, 0.04867232232223273, 0.1402460230782907, 0.31208314949168425, 0.2936579944904594, 0.3838557949782597]
[74, '2023-07-21', '20:13:14', '1689970394.867314', 0.0005285616591789192, 0.006277895798149302, 0.0920918493425944, 0.26980044885675625, 0.22226913034592144, 0.3416035367618093]
[75, '2023-07-21', '20:44:07', '1689972247.897552', 0.0005283173370772398, 0.034002740319465374, 0.13827323550610515, 0.13285067981442467, 0.268390343422098, 0.2759112107096229]
[76, '2023-07-21', '21:16:47', '1689974207.615352', 0.000528004258434218, 0.09324217195256779, 0.2114858302053335, 0.19203153457225142, 0.2736074272048796, 0.3350072883955306]
[77, '2023-07-22', '03:02:00', '1689994920.159291', 0.0005282417895466447, 0.035260726756050076, 0.1361332944502891, 0.17862458962572703, 0.26284380371060934, 0.3171578764384009]
[78, '2023-07-22', '03:40:35', '1689997235.79531', 0.000528177414645141, 0.04744306516982988, 0.16139244304497424, 0.19078945680809056, 0.26132469310108775, 0.32930586107403315]
[79, '2023-07-22', '04:45:27', '1690001127.840619', 0.0005280797500864487, 0.12263970970005289, 0.16954850651625009, 0.2094718917156655, 0.3031997460018232, 0.3307062041450166]
[80, '2023-07-22', '05:08:10', '1690002490.833387', 0.0005283076119267054, 0.03551759487189088, 0.12647253098938904, 0.1991848583766398, 0.26018143982769004, 0.2876997667694354]
[81, '2023-07-22', '05:50:38', '1690005038.735326', 0.0005283143082920615, 0.03425053249817722, 0.16586652794255485, 0.19791987050605542, 0.2924926095114415, 0.3396015831286263]
[82, '2023-07-22', '06:11:26', '1690006286.563299', 0.0005285185955226692, 0.0351426734670639, 0.12726291958475144, 0.2221722233558836, 0.25393796460423346, 0.3010651541992928]
[83, '2023-07-22', '06:55:27', '1690008927.487357', 0.0005287328120606302, -0.0053745871093013875, 0.1596227676798918, 0.18173076866979443, 0.2830529550978014, 0.3409031017042281]
[84, '2023-07-22', '07:14:37', '1690010077.406794', 0.0005288387354439767, 0.0368136245259052, 0.13962130321655764, 0.07011418819075743, 0.2630762179499584, 0.3209379539322015]
[85, '2023-07-22', '07:59:44', '1690012784.160336', 0.0005288570907115374, 0.033344039359064936, 0.13493774587303164, 0.06664575884082069, 0.27749713806630893, 0.3360114986656981]
[86, '2023-07-22', '08:17:57', '1690013877.523914', 0.0005288825029600056, -0.05919841268305959, 0.13013910400954387, 0.15075727450705756, 0.2727053463609508, 0.331222518648957]
[87, '2023-07-22', '09:03:50', '1690016630.75133', 0.0005286170258643915, -0.008972842286212313, 0.15162273330938092, 0.20087745585108507, 0.2937609196035993, 0.34532595137615374]
[88, '2023-07-22', '09:21:29', '1690017689.995264', 0.000528685329483454, 0.0323291153541021, 0.13872113311273893, 0.1936489010920326, 0.28087768535444013, 0.3324493799435686]
