['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000', '400 000', '500 000']
[89, '2023-07-22', '10:07:30', '1690020450.804922', 0.0005299493629361126, -0.37395126264156886, -0.15278361104701332, -0.5327671118206894, -0.2679616015985573, -0.32609692580514604]
[90, '2023-07-22', '10:24:57', '1690021497.44723', 0.0005298741477959188, -0.02977369754781023, -0.13856903473659088, -0.20786946716049215, -0.2537306782004549, -0.3118577513233305]
[91, '2023-07-22', '11:28:00', '1690025280.319049', 0.0005297535579162867, -0.03648172549402773, -0.13793656380192942, -0.18506394821321237, -0.2839857417930034, -0.37291530377795823]
[92, '2023-07-22', '12:13:57', '1690028037.151352', 0.0005294614531092059, 0.018678144144999465, -0.08272075221493935, -0.19519997522240828, -0.260999787605698, -0.3259367918460896]
[93, '2023-07-22', '12:30:54', '1690029054.971384', 0.0005295092141100457, -0.03697526839945908, -0.13713057229240633, -0.13255820688347342, -0.270044007287666, -0.3349868692846485]
[94, '2023-07-22', '13:16:41', '1690031801.904226', 0.00052987491255257, -0.10606446472625919, -0.2062889395375862, -0.2017134162857701, -0.28186534687411324, -0.3320534433922404]
[95, '2023-07-22', '13:33:38', '1690032818.17533', 0.0005298106752132607, -0.03331436020224032, -0.13295494787664097, -0.21546328618207156, -0.2697080620918797, -0.3198900742498978]
[96, '2023-07-22', '14:19:18', '1690035558.297906', 0.0005291041719377367, 0.10008020424014319, 0.0005724874285988335, -0.08182582589243736, -0.2142669352156048, -0.3296034548595941]
[97, '2023-07-22', '14:36:03', '1690036563.212548', 0.0005296105495158703, -0.10050618071895201, -0.17413938823270314, -0.24628084750818857, -0.3101767020942816, -0.4256236042122623]
[98, '2023-07-22', '15:21:34', '1690039294.594544', 0.0005295619964584105, -0.09132927585407913, -0.16495573290303867, -0.23709057847263182, -0.24855056424102884, -0.3274407177761418]
[99, '2023-07-22', '15:38:19', '1690040299.54062', 0.0005295390322421829, -0.06987288233457889, -0.1361953671179208, -0.2736803569734292, -0.24420333123136118, -0.3230900637306888]
[100, '2023-07-22', '16:23:54', '1690043034.687371', 0.0005294714954865157, -0.05711009405457901, -0.12342412014996285, -0.2608915753392722, -0.26197720073081143, -0.3276317658251173]
[101, '2023-07-22', '16:40:49', '1690044049.299136', 0.0005289429807314846, -0.025556687904554565, -0.12871051739554673, -0.18373560256917187, -0.16189639417012813, -0.22748542333533806]
[102, '2023-07-22', '17:26:14', '1690046774.848659', 0.0005291158620176607, -0.058249336300747245, -0.16143688089404407, -0.21647995062903647, -0.25242304383873204, -0.31888231796550315]
[103, '2023-07-22', '17:43:05', '1690047785.727308', 0.0005294812570497719, 0.06390513898151085, -0.09518454735130888, 0.020754093185828992, -0.32165502111804756, -0.3881601904642764]
[104, '2023-07-22', '18:28:32', '1690050512.191326', 0.0005306835481137456, -0.1630193691480457, -0.3224702998227258, -0.20626839785823847, -0.3143818382909984, -0.3588159827149866]
[105, '2023-07-22', '18:45:28', '1690051528.095341', 0.0005304202562511086, -0.013679869037915182, -0.115055054980715, -0.3214979219121261, -0.2646121393106, -0.3090242383014896]
[106, '2023-07-22', '19:30:56', '1690054256.671351', 0.0005300212364935279, 0.061557518346504025, -0.039741405987427925, -0.24602897194428408, -0.2594154785214471, -0.3080456829100484]
