['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000', '400 000', '500 000']
[92, '2023-07-22', '12:13:57', '1690028037.151352', 3.342955e-05, -0.07271609539085944, -0.27631536141448976, -0.4128374846029885, -0.524822792487825, -0.6368820518823952]
[93, '2023-07-22', '12:30:54', '1690029054.971384', 3.344333e-05, -0.10815453409495035, -0.3297390753225784, -0.3649070515281352, -0.5662601453113183, -0.6783655966706164]
[94, '2023-07-22', '13:16:41', '1690031801.904226', 3.347691e-05, -0.2086717920729768, -0.4304788233724537, -0.46568211127218717, -0.5868184874589417, -0.6962584612035556]
[95, '2023-07-22', '13:33:38', '1690032818.17533', 3.347697e-05, -0.13946190699772387, -0.3505950535277833, -0.48223652738266765, -0.5869987672132453, -0.6964389371049435]
[96, '2023-07-22', '14:19:18', '1690035558.297906', 3.3442769999999996e-05, -0.037159649737887435, -0.24807710310302866, -0.37958409231352164, -0.4822148907061319, -0.6442984553823692]
[97, '2023-07-22', '14:36:03', '1690036563.212548', 3.3459629999999996e-05, -0.12910932568367173, -0.316177993382567, -0.4579592542334865, -0.5328724810629524, -0.6950377593322941]
[98, '2023-07-22', '15:21:34', '1690039294.594544', 3.345209e-05, -0.10654561280591679, -0.2935721252940766, -0.4353214362786275, -0.5289706790444484, -0.6412028373146939]
[99, '2023-07-22', '15:38:19', '1690040299.54062', 3.3465090000000005e-05, -0.18001400534683398, -0.3640621963163113, -0.518123854083214, -0.5680377932016967, -0.6803135666259692]
[100, '2023-07-22', '16:23:54', '1690043034.687371', 3.346792e-05, -0.18848580206500287, -0.3725495572053745, -0.5266242433099109, -0.5357687928207184, -0.6232941273499506]
[101, '2023-07-22', '16:40:49', '1690044049.299136', 3.344369e-05, -0.09276593988180082, -0.29062930809095633, -0.4052068954518404, -0.46298322150794036, -0.5504451897193547]
[102, '2023-07-22', '17:26:14', '1690046774.848659', 3.3440739999999996e-05, -0.08393696019916774, -0.28178287528227486, -0.39635035598678314, -0.49111194490239996, -0.6002418261980864]
[103, '2023-07-22', '17:43:05', '1690047785.727308', 3.346715e-05, 0.01445925392818026, -0.26078952637712405, -0.2810479608899641, -0.5704753282027042, -0.6796913953951247]
[104, '2023-07-22', '18:28:32', '1690050512.191326', 3.351672e-05, -0.13363472045513447, -0.40929118656697483, -0.429579626939244, -0.605011587754106, -0.7051346684977204]
[105, '2023-07-22', '18:45:28', '1690051528.095341', 3.351287e-05, -0.1136962376940005, -0.3428896885191932, -0.5567360555711787, -0.5934552870596121, -0.6935668668610049]
[106, '2023-07-22', '19:30:56', '1690054256.671351', 3.3490480000000006e-05, -0.0468101232322482, -0.2758504495603944, -0.48955394552558573, -0.5651588588327598, -0.6697205917232907]
[107, '2023-07-22', '19:47:43', '1690055263.711295', 3.349095e-05, -0.12511786864502028, -0.33545048360457486, -0.439204172311932, -0.5665701740681044, -0.6711333743611334]
[108, '2023-07-22', '20:33:22', '1690058002.851254', 3.3481660000000006e-05, -0.09734432549385019, -0.30761859663235214, -0.41134350527322283, -0.5163480143190498, -0.6223380801948224]
[109, '2023-07-22', '20:50:10', '1690059010.303328', 3.349768e-05, -0.12570561977017292, -0.33432604600982074, -0.4156101255258591, -0.5644421618371069, -0.6704829408751038]
[110, '2023-07-22', '21:35:46', '1690061746.323743', 3.349971e-05, -0.1317733588615937, -0.3404064277518728, -0.4216954331816396, -0.5426101293278265, -0.6521811833160172]
[111, '2023-07-23', '03:03:56', '1690081436.287284', 3.3455690000000005e-05, -0.06619696294366406, -0.2515203482753918, -0.35863826864724047, -0.5431022458797514, -0.6786732927080692]
[112, '2023-07-23', '03:49:28', '1690084168.895358', 3.346946e-05, -0.10738312685715812, -0.2927827892890207, -0.3999447982378257, -0.5045064547752389, -0.6258172368006569]
[113, '2023-07-23', '04:06:21', '1690085181.353131', 3.347253e-05, -0.08209639776895017, -0.2668886658015168, -0.43801306557674025, -0.5137252720138719, -0.635047181320715]
[114, '2023-07-23', '04:51:51', '1690087911.205829', 3.3448440000000006e-05, -0.010067850711948267, -0.194727124742073, -0.36572836720620217, -0.6112725932594998, -0.734335453717847]
[115, '2023-07-23', '05:09:02', '1690088942.945476', 3.342009e-05, -0.28624112786488354, -0.4736695433214919, -0.5194418905318514, -0.5259971789795088, -0.6489557346602908]
[116, '2023-07-23', '05:54:11', '1690091651.168732', 3.3381649999999996e-05, -0.17089125570848296, -0.3581040898099701, -0.40382378937556496, -0.4688501697327041, -0.5987063601215112]
[117, '2023-07-23', '06:11:54', '1690092714.675303', 3.339919e-05, -0.050138916696241154, -0.26042421241280067, -0.39333459301636253, -0.5216403593122436, -0.6515647811269787]
[118, '2023-07-23', '06:56:33', '1690095393.816247', 3.340324e-05, -0.06227103914029897, -0.2725818341413486, -0.40550833151425536, -0.5058827954569267, -0.6416570439776876]
[119, '2023-07-23', '07:14:46', '1690096486.703898', 3.34275e-05, -0.1337219167783701, -0.34604202384471705, -0.44988738198591705, -0.5788778916397348, -0.714750749854332]
[120, '2023-07-23', '08:17:41', '1690100261.295082', 3.342677e-05, -0.1560103817556353, -0.34882059836861856, -0.5391763610500959, -0.5874027874794621, -0.7113831405940516]
[121, '2023-07-23', '09:01:04', '1690102864.927342', 3.338368e-05, -0.0269006147231039, -0.2194622822769503, -0.40957265990286373, -0.4577369182940174, -0.635377178455613]
[122, '2023-07-23', '09:20:38', '1690104038.034538', 3.338526e-05, -0.06610395974661287, -0.28731513765016814, -0.352921709050662, -0.518412335227211, -0.6401401014149997]
[123, '2023-07-23', '10:03:20', '1690106600.191328', 3.341007e-05, -0.14046731768485188, -0.3618428869792325, -0.4274982134002414, -0.5931118226667991, -0.6598187582936248]
